concept_id,concept_code,vocabulary_id,concept_name
40659711,D6060,HCPCS,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (PREDOMINANTLY BASE METAL)
40661221,D6194,HCPCS,ABUTMENT SUPPORTED RETAINER CROWN FOR FPD - (TITANIUM)
40659047,D6072,HCPCS,ABUTMENT SUPPORTED RETAINER FOR CAST METAL FPD (HIGH NOBLE METAL)
40664216,D6074,HCPCS,ABUTMENT SUPPORTED RETAINER FOR CAST METAL FPD (NOBLE METAL)
40663454,D6073,HCPCS,ABUTMENT SUPPORTED RETAINER FOR CAST METAL FPD (PREDOMINANTLY BASE METAL)
40659714,D6068,HCPCS,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN/CERAMIC FPD
40659046,D6069,HCPCS,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (HIGH NOBLE METAL)
40658243,D6071,HCPCS,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (NOBLE METAL)
40661921,D6070,HCPCS,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (PREDOMINANTLY BASE METAL)
40660344,D0480,HCPCS,ACCESSION OF EXFOLIATIVE CYTOLOGIC SMEARS AND TRANSMISSION OF WRITTEN REPORT
40661203,D0472,HCPCS,ACCESSION OF TISSUE REPORT
40663153,D0474,HCPCS,ACCESSION OF TISSUE SURGICAL MARGINS FOR PRESENCE OF DISEASE WRITTEN REPORT
40658225,D0473,HCPCS,ACCESSION OF TISSUE TRANSMISSION OF WRITTEN REPORT
2617026,E2209,HCPCS,Accessory arm trough with or without hand support each
2617120,E2512,HCPCS,Accessory for speech generating device mounting system
40218583,K0546,HCPCS,Accessory for speech generating device mounting system
40218584,K0547,HCPCS,Accessory for speech generating device not otherwise classified
2617121,E2599,HCPCS,Accessory for speech generating device not otherwise classified
40218482,C1152,HCPCS,Access system dialysis lifesite access system
2616348,C9221,HCPCS,ACELLULAR DERMAL TISSUE MATRIX
2616382,C9351,HCPCS,ACELLULAR DERMAL TISSUE MATRIX OF NON-HUMAN ORIGIN NOT REPORT C9351 IN CONJUNCTION WITH J7345)
2616385,C9354,HCPCS,Acellular pericardial tissue matrix of non-human origin (veritas) per square centimeter
45890668,G6039,HCPCS,Acetaminophen
2614980,A4708,HCPCS,Acetate concentrate solution for hemodialysis per gallon
40217460,K0140,HCPCS,Acetylcysteine compounded per mg inhalation solution administered through DME
40217784,K0503,HCPCS,Acetylcysteine inhalation solution administered through DME unit dose form per gram
2718735,J7604,HCPCS,Acetylcysteine inhalation solution compounded product administered through dme unit dose form per gram
2718739,J7608,HCPCS,Acetylcysteine inhalation solution fda-approved final product non-compounded administered through dme unit dose form per gram
2614981,A4709,HCPCS,Acid concentrate solution for hemodialysis per gallon
2614974,A4680,HCPCS,Activated carbon filter for hemodialysis each
2618182,H2032,HCPCS,Activity therapy per 15 minutes
2617264,G0176,HCPCS,Activity therapy such as music dance art or play therapies not for recreation related to the care and treatment of patient's disabling mental health problems per session (45 minutes or more)
40217701,Q0082,HCPCS,Activity therapy w/partial h
2617496,G8006,HCPCS,Acute myocardial infarction: patient documented to have received aspirin at arrival
2617499,G8009,HCPCS,Acute myocardial infarction: patient documented to have received beta-blocker at arrival
2617497,G8007,HCPCS,Acute myocardial infarction: patient not documented to have received aspirin at arrival
2617500,G8010,HCPCS,Acute myocardial infarction: patient not documented to have received beta-blocker at arrival
2615425,AT,HCPCS,Acute treatment (this modifier should be used when reporting service 98940 98941 98942)
44782400,Q4075,HCPCS,ACYCLOVIR 5 MG
2615862,C1883,HCPCS,Adapter/extension pacing lead or neurostimulator lead (implantable)
2614736,A4282,HCPCS,Adapter for breast pump replacement
40658655,D5660,HCPCS,ADD CLASP TO EXISTING PARTIAL DENTURE
40217803,S9555,HCPCS,Additional home infusion
40664202,D2971,HCPCS,ADDITIONAL PROCEDURES TO CONSTRUCT NEW CROWN UNDER EXISTING PARTIAL DENTURE FRAMEWORK
44782123,G0349,HCPCS,ADDITIONAL SEQUENTIAL INFUSE
44786597,L5969,HCPCS,Addition endoskeletal ankle-foot or ankle system power assist includes any type motor(s)
2720126,L5840,HCPCS,Addition endoskeletal knee/shin system 4-bar linkage or multiaxial pneumatic swing phase control
2720120,L5818,HCPCS,Addition endoskeletal knee-shin system polycentric friction swing and stance phase control
2720118,L5814,HCPCS,Addition endoskeletal knee-shin system polycentric hydraulic swing phase control mechanical stance phase lock
2720119,L5816,HCPCS,Addition endoskeletal knee-shin system polycentric mechanical stance phase lock
2720124,L5828,HCPCS,Addition endoskeletal knee-shin system single axis fluid swing and stance phase control
2720122,L5824,HCPCS,Addition endoskeletal knee-shin system single axis fluid swing phase control
2720117,L5812,HCPCS,Addition endoskeletal knee-shin system single axis friction swing and stance phase control (safety knee)
2720123,L5826,HCPCS,Addition endoskeletal knee-shin system single axis hydraulic swing phase control with miniature high activity frame
2720115,L5810,HCPCS,Addition endoskeletal knee-shin system single axis manual lock
2720116,L5811,HCPCS,Addition endoskeletal knee-shin system single axis manual lock ultra-light material
2720121,L5822,HCPCS,Addition endoskeletal knee-shin system single axis pneumatic swing friction stance phase control
2720125,L5830,HCPCS,Addition endoskeletal knee-shin system single axis pneumatic/ swing phase control
2720127,L5845,HCPCS,Addition endoskeletal knee-shin system stance flexion feature adjustable
2720144,L5964,HCPCS,Addition endoskeletal system above knee flexible protective outer surface covering system
2720138,L5925,HCPCS,Addition endoskeletal system above knee knee disarticulation or hip disarticulation manual lock
2720137,L5920,HCPCS,Addition endoskeletal system above knee or hip disarticulation alignable system
2720131,L5850,HCPCS,Addition endoskeletal system above knee or hip disarticulation knee extension assist
2720141,L5950,HCPCS,Addition endoskeletal system above knee ultra-light material (titanium carbon fiber or equal)
2720136,L5910,HCPCS,Addition endoskeletal system below knee alignable system
2720143,L5962,HCPCS,Addition endoskeletal system below knee flexible protective outer surface covering system
2720140,L5940,HCPCS,Addition endoskeletal system below knee ultra-light material (titanium carbon fiber or equal)
2720139,L5930,HCPCS,Addition endoskeletal system high activity knee control frame
2720145,L5966,HCPCS,Addition endoskeletal system hip disarticulation flexible protective outer surface covering system
2720132,L5855,HCPCS,Addition endoskeletal system hip disarticulation mechanical hip extension assist
2720142,L5960,HCPCS,Addition endoskeletal system hip disarticulation ultra-light material (titanium carbon fiber or equal)
40664487,L5961,HCPCS,Addition endoskeletal system polycentric hip joint pneumatic or hydraulic control rotation control with or without flexion and/or extension control
2720104,L5718,HCPCS,Addition exoskeletal knee-shin system polycentric friction swing and stance phase control
2720103,L5716,HCPCS,Addition exoskeletal knee-shin system polycentric mechanical stance phase lock
2720107,L5726,HCPCS,Addition exoskeletal knee-shin system single axis external joints fluid swing phase control
2720108,L5728,HCPCS,Addition exoskeletal knee-shin system single axis fluid swing and stance phase control
2720106,L5724,HCPCS,Addition exoskeletal knee-shin system single axis fluid swing phase control
2720101,L5712,HCPCS,Addition exoskeletal knee-shin system single axis friction swing and stance phase control (safety knee)
2720099,L5710,HCPCS,Addition exoskeletal knee-shin system single axis manual lock
2720109,L5780,HCPCS,Addition exoskeletal knee-shin system single axis pneumatic/hydra pneumatic swing phase control
2720105,L5722,HCPCS,Addition exoskeletal knee-shin system single axis pneumatic swing friction stance phase control
2720102,L5714,HCPCS,Addition exoskeletal knee-shin system single axis variable friction swing phase control
2720113,L5790,HCPCS,Addition exoskeletal system above knee ultra-light material (titanium carbon fiber or equal)
2720112,L5785,HCPCS,Addition exoskeletal system below knee ultra-light material (titanium carbon fiber or equal)
2720114,L5795,HCPCS,Addition exoskeletal system hip disarticulation ultra-light material (titanium carbon fiber or equal)
2719914,L3956,HCPCS,Addition of joint to upper extremity orthosis any material; per joint
2720100,L5711,HCPCS,Additions exoskeletal knee-shin system single axis manual lock ultra-light material
2720073,L5678,HCPCS,Additions to lower extremity below knee joint covers pair
2720072,L5677,HCPCS,Additions to lower extremity below knee knee joints polycentric pair
2720071,L5676,HCPCS,Additions to lower extremity below knee knee joints single axis pair
2720047,L5650,HCPCS,Additions to lower extremity total contact above knee or knee disarticulation socket
40217471,L4320,HCPCS,Addition to AFO multi-podus (or equal) orthotic preparatory management system for lower extremities flexible foot positioner with soft interface for AFO with velcro closure
2719536,L1010,HCPCS,Addition to cervical-thoracic-lumbar-sacral orthosis (ctlso) or scoliosis orthosis axilla sling
2719537,L1020,HCPCS,Addition to ctlso or scoliosis orthosis kyphosis pad
2719538,L1025,HCPCS,Addition to ctlso or scoliosis orthosis kyphosis pad floating
2719539,L1030,HCPCS,Addition to ctlso or scoliosis orthosis lumbar bolster pad
2719540,L1040,HCPCS,Addition to ctlso or scoliosis orthosis lumbar or lumbar rib pad
2719546,L1090,HCPCS,Addition to ctlso or scoliosis orthosis lumbar sling
2719544,L1080,HCPCS,Addition to ctlso or scoliosis orthosis outrigger
2719545,L1085,HCPCS,Addition to ctlso or scoliosis orthosis outrigger bilateral with vertical extensions
2719547,L1100,HCPCS,Addition to ctlso or scoliosis orthosis ring flange plastic or leather
2719548,L1110,HCPCS,Addition to ctlso or scoliosis orthosis ring flange plastic or leather molded to patient model
2719541,L1050,HCPCS,Addition to ctlso or scoliosis orthosis sternal pad
2719542,L1060,HCPCS,Addition to ctlso or scoliosis orthosis thoracic pad
2719543,L1070,HCPCS,Addition to ctlso or scoliosis orthosis trapezius sling
2719549,L1120,HCPCS,Addition to ctlso scoliosis orthosis cover for upright each
2720130,L5848,HCPCS,Addition to endoskeletal knee-shin system fluid stance extension dampening feature with or without adjustability
2719513,L0859,HCPCS,Addition to halo procedure magnetic resonance image compatible systems rings and pins any material
2719515,L0861,HCPCS,Addition to halo procedure replacement liner/interface material
2719694,L2425,HCPCS,Addition to knee joint disc or dial lock for adjustable knee flexion each joint
2719692,L2405,HCPCS,Addition to knee joint drop lock each
2719697,L2492,HCPCS,Addition to knee joint lift loop for drop lock ring
2719695,L2430,HCPCS,Addition to knee joint ratchet lock for active and progressive knee extension each joint
2719693,L2415,HCPCS,Addition to knee lock with integrated release mechanism (bail cable or equal) any material each joint
2721893,V2745,HCPCS,Addition to lens; tint any color solid gradient or equal excludes photochromatic any lens material per lens
2719676,L2300,HCPCS,Addition to lower extremity abduction bar (bilateral hip involvement) jointed adjustable
2719677,L2310,HCPCS,Addition to lower extremity abduction bar-straight
2720045,L5648,HCPCS,Addition to lower extremity above knee air fluid gel or equal cushion socket
2720048,L5651,HCPCS,Addition to lower extremity above knee flexible inner socket external frame
2720039,L5642,HCPCS,Addition to lower extremity above knee leather socket
2720031,L5631,HCPCS,Addition to lower extremity above knee or knee disarticulation acrylic socket
2720088,L5697,HCPCS,Addition to lower extremity above knee or knee disarticulation pelvic band
2720087,L5696,HCPCS,Addition to lower extremity above knee or knee disarticulation pelvic joint
2720089,L5698,HCPCS,Addition to lower extremity above knee or knee disarticulation silesian bandage
2720084,L5692,HCPCS,Addition to lower extremity above knee pelvic control belt light
2720085,L5694,HCPCS,Addition to lower extremity above knee pelvic control belt padded and lined
2720086,L5695,HCPCS,Addition to lower extremity above knee pelvic control sleeve suspension neoprene or equal each
2720041,L5644,HCPCS,Addition to lower extremity above knee wood socket
2719680,L2335,HCPCS,Addition to lower extremity anterior swing band
2720068,L5673,HCPCS,Addition to lower extremity below knee/above knee custom fabricated from existing mold or prefabricated socket insert silicone gel elastomeric or equal for use with locking mechanism
40218797,K0556,HCPCS,Addition to lower extremity below knee/above knee custom fabricated from existing mold or prefabricated socket insert silicone gel elastomeric or equal for use with locking mechanism.
2720074,L5679,HCPCS,Addition to lower extremity below knee/above knee custom fabricated from existing mold or prefabricated socket insert silicone gel elastomeric or equal not for use with locking mechanism
40218798,K0557,HCPCS,Addition to lower extremity below knee/above knee custom fabricated from existing mold or prefabricated socket insert silicone gel elastomeric or equal not for use with locking mechanism.
40218799,K0558,HCPCS,Addition to lower extremity below knee/above knee custom fabricated socket insert for congenital or atypical traumatic amputee silicone gel elastomeric or equal for use with or without locking mechanism initial only.
2720076,L5681,HCPCS,Addition to lower extremity below knee/above knee custom fabricated socket insert for congenital or atypical traumatic amputee silicone gel elastomeric or equal for use with or without locking mechanism initial only (for other than initial use c...
40218800,K0559,HCPCS,Addition to lower extremity below knee/above knee custom fabricated socket insert for other than congenital or atypical traumatic amputee silicone gel elastomeric or equal for use with or without locking mechanism initial only.
2720078,L5683,HCPCS,Addition to lower extremity below knee/above knee custom fabricated socket insert for other than congenital or atypical traumatic amputee silicone gel elastomeric or equal for use with or without locking mechanism initial only (for other than ini...
40218568,L5667,HCPCS,Addition to lower extremity below knee/above knee socket insert suction suspension with locking mechanism
40218569,L5669,HCPCS,Addition to lower extremity below knee/above knee socket insert suction suspension without locking mechanism
2720066,L5671,HCPCS,Addition to lower extremity below knee / above knee suspension locking mechanism (shuttle lanyard or equal) excludes socket insert
2720029,L5629,HCPCS,Addition to lower extremity below knee acrylic socket
2720043,L5646,HCPCS,Addition to lower extremity below knee air fluid gel or equal cushion socket
2720081,L5686,HCPCS,Addition to lower extremity below knee back check (extension control)
2720061,L5666,HCPCS,Addition to lower extremity below knee cuff suspension
2720042,L5645,HCPCS,Addition to lower extremity below knee flexible inner socket external frame
2720079,L5684,HCPCS,Addition to lower extremity below knee fork strap
2720036,L5638,HCPCS,Addition to lower extremity below knee leather socket
2720063,L5668,HCPCS,Addition to lower extremity below knee molded distal cushion
2720065,L5670,HCPCS,Addition to lower extremity below knee molded supracondylar suspension ('pts' or similar)
2720067,L5672,HCPCS,Addition to lower extremity below knee removable medial brim suspension
2720044,L5647,HCPCS,Addition to lower extremity below knee suction socket
2720077,L5682,HCPCS,Addition to lower extremity below knee thigh lacer gluteal/ischial molded
2720075,L5680,HCPCS,Addition to lower extremity below knee thigh lacer nonmolded
2720035,L5637,HCPCS,Addition to lower extremity below knee total contact
2720083,L5690,HCPCS,Addition to lower extremity below knee waist belt padded and lined
2720082,L5688,HCPCS,Addition to lower extremity below knee waist belt webbing
2720037,L5639,HCPCS,Addition to lower extremity below knee wood socket
2719666,L2220,HCPCS,Addition to lower extremity dorsiflexion and plantar flexion assist/resist each joint
2719665,L2210,HCPCS,Addition to lower extremity dorsiflexion assist (plantar flexion resist) each joint
2720017,L5610,HCPCS,Addition to lower extremity endoskeletal system above knee hydracadence system
2720018,L5611,HCPCS,Addition to lower extremity endoskeletal system above knee - knee disarticulation 4 bar linkage with friction swing phase control
2720019,L5613,HCPCS,Addition to lower extremity endoskeletal system above knee-knee disarticulation 4 bar linkage with hydraulic swing phase control
2720021,L5616,HCPCS,Addition to lower extremity endoskeletal system above knee universal multiplex system friction swing phase control
2720020,L5614,HCPCS,Addition to lower extremity exoskeletal system above knee-knee disarticulation 4 bar linkage with pneumatic swing phase control
2719683,L2360,HCPCS,Addition to lower extremity extended steel shank
2719670,L2250,HCPCS,Addition to lower extremity foot plate molded to patient model stirrup attachment
2719660,L2186,HCPCS,Addition to lower extremity fracture orthosis adjustable motion knee joint lerman type
2719658,L2182,HCPCS,Addition to lower extremity fracture orthosis drop lock knee joint
2719663,L2192,HCPCS,Addition to lower extremity fracture orthosis hip joint pelvic band thigh flange and pelvic belt
2719659,L2184,HCPCS,Addition to lower extremity fracture orthosis limited motion knee joint
2719657,L2180,HCPCS,Addition to lower extremity fracture orthosis plastic shoe insert with ankle joints
2719661,L2188,HCPCS,Addition to lower extremity fracture orthosis quadrilateral brim
2719662,L2190,HCPCS,Addition to lower extremity fracture orthosis waist belt
2720040,L5643,HCPCS,Addition to lower extremity hip disarticulation flexible inner socket external frame
2720046,L5649,HCPCS,Addition to lower extremity ischial containment/narrow m-l socket
2719735,L2860,HCPCS,ADDITION TO LOWER EXTREMITY JOINT KNEE OR ANKLE CONCENTRIC ADJUSTABLE TORSION STYLE MECHANISM EACH
40662459,L2861,HCPCS,Addition to lower extremity joint knee or ankle concentric adjustable torsion style mechanism for custom fabricated orthotics only each
2720050,L5653,HCPCS,Addition to lower extremity knee disarticulation expandable wall socket
2720038,L5640,HCPCS,Addition to lower extremity knee disarticulation leather socket
2719679,L2330,HCPCS,Addition to lower extremity lacer molded to patient model for custom fabricated orthosis only
2719664,L2200,HCPCS,Addition to lower extremity limited ankle motion each joint
2719672,L2265,HCPCS,Addition to lower extremity long tongue stirrup
2719675,L2280,HCPCS,Addition to lower extremity molded inner boot
2719678,L2320,HCPCS,Addition to lower extremity non-molded lacer for custom fabricated orthosis only
2719689,L2390,HCPCS,Addition to lower extremity offset knee joint each joint
2719690,L2395,HCPCS,Addition to lower extremity offset knee joint heavy duty each joint
2719725,L2770,HCPCS,ADDITION TO LOWER EXTREMITY ORTHOSIS ANY MATERIAL - PER BAR OR JOINT
2719727,L2785,HCPCS,Addition to lower extremity orthosis drop lock retainer each
2719723,L2760,HCPCS,Addition to lower extremity orthosis extension per extension per bar (for lineal adjustment for growth)
2719734,L2850,HCPCS,Addition to lower extremity orthosis femoral length sock fracture or equal each
2719722,L2755,HCPCS,Addition to lower extremity orthosis high strength lightweight material all hybrid lamination/prepreg composite per segment for custom fabricated orthosis only
2719730,L2810,HCPCS,Addition to lower extremity orthosis knee control condylar pad
2719728,L2795,HCPCS,Addition to lower extremity orthosis knee control full kneecap
2719729,L2800,HCPCS,Addition to lower extremity orthosis knee control knee cap medial or lateral pull for use with custom fabricated orthosis only
2719726,L2780,HCPCS,Addition to lower extremity orthosis non-corrosive finish per bar
2719721,L2750,HCPCS,Addition to lower extremity orthosis plating chrome or nickel per bar
2719309,K0672,HCPCS,Addition to lower extremity orthosis removable soft interface all components replacement only each
2719668,L2232,HCPCS,Addition to lower extremity orthosis rocker bottom for total contact ankle foot orthosis for custom fabricated orthosis only
2719732,L2830,HCPCS,Addition to lower extremity orthosis soft interface for molded plastic above knee section
2719731,L2820,HCPCS,Addition to lower extremity orthosis soft interface for molded plastic below knee section
2719691,L2397,HCPCS,Addition to lower extremity orthosis suspension sleeve
2719733,L2840,HCPCS,Addition to lower extremity orthosis tibial length sock fracture or equal each
2719684,L2370,HCPCS,Addition to lower extremity patten bottom
2719717,L2650,HCPCS,Addition to lower extremity pelvic and thoracic control gluteal pad each
2719716,L2640,HCPCS,Addition to lower extremity pelvic control band and belt bilateral
2719715,L2630,HCPCS,Addition to lower extremity pelvic control band and belt unilateral
2719711,L2622,HCPCS,Addition to lower extremity pelvic control hip joint adjustable flexion each
2719712,L2624,HCPCS,Addition to lower extremity pelvic control hip joint adjustable flexion extension abduction control each
2719709,L2610,HCPCS,Addition to lower extremity pelvic control hip joint clevis or thrust bearing lock each
2719708,L2600,HCPCS,Addition to lower extremity pelvic control hip joint clevis type or thrust bearing free each
2719706,L2570,HCPCS,Addition to lower extremity pelvic control hip joint clevis type two position joint each
2719710,L2620,HCPCS,Addition to lower extremity pelvic control hip joint heavy duty each
2719714,L2628,HCPCS,Addition to lower extremity pelvic control metal frame reciprocating hip joint and cables
2719707,L2580,HCPCS,Addition to lower extremity pelvic control pelvic sling
2719713,L2627,HCPCS,Addition to lower extremity pelvic control plastic molded to patient model reciprocating hip joint and cables
2719688,L2387,HCPCS,Addition to lower extremity polycentric knee joint for custom fabricated knee ankle foot orthosis each joint
2719681,L2340,HCPCS,Addition to lower extremity pre-tibial shell molded to patient model
2720080,L5685,HCPCS,Addition to lower extremity prosthesis below knee suspension/sealing sleeve with or without valve any material each
2720135,L5858,HCPCS,Addition to lower extremity prosthesis endoskeletal knee shin system microprocessor control feature stance phase only includes electronic sensor(s) any type
2720133,L5856,HCPCS,Addition to lower extremity prosthesis endoskeletal knee-shin system microprocessor control feature swing and stance phase includes electronic sensor(s) any type
2720134,L5857,HCPCS,Addition to lower extremity prosthesis endoskeletal knee-shin system microprocessor control feature swing phase only includes electronic sensor(s) any type
43533329,L5859,HCPCS,Addition to lower extremity prosthesis endoskeletal knee-shin system powered and programmable flexion/extension assist control includes any type motor(s)
2720165,L5993,HCPCS,ADDITION TO LOWER EXTREMITY PROSTHESIS HEAVY DUTY FEATURE FOOT ONLY (FOR PATIENT WEIGHT GREATER THAN 300 LBS)
2720166,L5994,HCPCS,ADDITION TO LOWER EXTREMITY PROSTHESIS HEAVY DUTY FEATURE KNEE ONLY (FOR PATIENT WEIGHT GREATER THAN 300 LBS)
2720167,L5995,HCPCS,ADDITION TO LOWER EXTREMITY PROSTHESIS HEAVY DUTY FEATURE OTHER THAN FOOT OR KNEE (FOR PATIENT WEIGHT GREATER THAN 300 LBS)
2720164,L5990,HCPCS,Addition to lower extremity prosthesis user adjustable heel height
2719682,L2350,HCPCS,Addition to lower extremity prosthetic type (bk) socket molded to patient model (used for 'ptb' 'afo' orthoses)
2720022,L5617,HCPCS,Addition to lower extremity quick change self-aligning unit above knee or below knee each
2719671,L2260,HCPCS,Addition to lower extremity reinforced solid stirrup (scott-craig type)
2719669,L2240,HCPCS,Addition to lower extremity round caliper and plate attachment
2720054,L5658,HCPCS,Addition to lower extremity socket insert above knee (kemblo pelite aliplast plastazote or equal)
40218595,L5664,HCPCS,Addition to lower extremity socket insert above knee silicone gel or equal
2720052,L5655,HCPCS,Addition to lower extremity socket insert below knee (kemblo pelite aliplast plastazote or equal)
40218593,L5662,HCPCS,Addition to lower extremity socket insert below knee silicone gel or equal
2720053,L5656,HCPCS,Addition to lower extremity socket insert knee disarticulation (kemblo pelite aliplast plastazote or equal)
40218594,L5663,HCPCS,Addition to lower extremity socket insert knee disarticulation silicone gel or equal
2720060,L5665,HCPCS,Addition to lower extremity socket insert multi-durometer below knee
2720056,L5661,HCPCS,Addition to lower extremity socket insert multi-durometer symes
2720051,L5654,HCPCS,Addition to lower extremity socket insert symes (kemblo pelite aliplast plastazote or equal)
40218592,L5660,HCPCS,Addition to lower extremity socket insert symes silicone gel or equal
2719667,L2230,HCPCS,Addition to lower extremity split flat caliper stirrups and plate attachment
2719687,L2385,HCPCS,Addition to lower extremity straight knee joint heavy duty each joint
2720049,L5652,HCPCS,Addition to lower extremity suction suspension above knee or knee disarticulation socket
2720030,L5630,HCPCS,Addition to lower extremity symes type expandable wall socket
2720034,L5636,HCPCS,Addition to lower extremity symes type medial opening socket
2720033,L5634,HCPCS,Addition to lower extremity symes type posterior opening (canadian) socket
2720032,L5632,HCPCS,Addition to lower extremity symes type 'ptb' brim design socket
2720026,L5624,HCPCS,Addition to lower extremity test socket above knee
2720024,L5620,HCPCS,Addition to lower extremity test socket below knee
2720028,L5628,HCPCS,Addition to lower extremity test socket hemipelvectomy
2720027,L5626,HCPCS,Addition to lower extremity test socket hip disarticulation
2720025,L5622,HCPCS,Addition to lower extremity test socket knee disarticulation
2720023,L5618,HCPCS,Addition to lower extremity test socket symes
2719698,L2500,HCPCS,Addition to lower extremity thigh/weight bearing gluteal/ ischial weight bearing ring
2719705,L2550,HCPCS,Addition to lower extremity thigh/weight bearing high roll cuff
2719702,L2526,HCPCS,Addition to lower extremity thigh/weight bearing ischial containment/narrow m-l brim custom fitted
2719701,L2525,HCPCS,Addition to lower extremity thigh/weight bearing ischial containment/narrow m-l brim molded to patient model
2719704,L2540,HCPCS,Addition to lower extremity thigh/weight bearing lacer molded to patient model
